ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
11060,104-CI-T01,Pre-PQ Process,SO-27530,DN-1313,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,19-Aug-09,19-Aug-09,19-Aug-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,10480,39824.0,3.8,0.06,"Cipla, Goa, India",Yes,786.0,11032.42,78.06
11062,106-HT-T01,Pre-PQ Process,SO-32760,DN-1373,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,31-Jul-09,31-Jul-09,31-Jul-09,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,1092,2446.08,2.24,0.07,"Aurobindo Unit III, India",Yes,1585.0,6811.39,4.79
11066,104-CI-T01,Pre-PQ Process,SO-32210,DN-1401,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,8-Sep-09,8-Sep-09,8-Sep-09,ARV,Adult,SCMS from RDC,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,2052,3591.0,1.75,0.03,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,7.04
11067,114-UG-T01,Pre-PQ Process,SO-32960,DN-1414,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,14-Sep-09,14-Sep-09,14-Sep-09,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,192,1445.76,7.53,0.13,"Aurobindo Unit III, India",Yes,11.0,1112.31,2.83
11068,114-UG-T01,Pre-PQ Process,SO-30150,DN-1426,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,8-Oct-09,8-Oct-09,8-Oct-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,3740,26441.8,7.07,0.24,"Aurobindo Unit III, India",Yes,322.0,3054.1,51.83
11069,104-CI-T01,Pre-PQ Process,SO-33240,DN-1424,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,28-Sep-09,28-Sep-09,28-Sep-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,8732,25322.8,2.9,0.05,Hetero Unit III Hyderabad IN,Yes,485.0,7302.48,49.63
11070,151-NG-T01,Pre-PQ Process,SO-27824,DN-1443,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,Date Not Captured,N/A - From RDC,20-Oct-09,20-Oct-09,20-Oct-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,441,5181.75,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,36.0,9341.49,10.16
11071,104-CI-T01,Pre-PQ Process,SO-33231,DN-1460,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,7-Oct-09,7-Oct-09,7-Oct-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,576,6768.0,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,47.0,1234.91,13.27
11073,100-LB-T01,Pre-PQ Process,SO-33900,DN-1487,Lebanon,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,18-Nov-09,18-Nov-09,18-Nov-09,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,100,1.0,0.01,0.0,Mylan (formerly Matrix) Nashik,Yes,3424.441305712492,11103.234819296547,0.0
11074,100-LB-T01,Pre-PQ Process,SO-33910,DN-1488,Lebanon,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,24-Nov-09,24-Nov-09,24-Nov-09,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,42,0.42,0.01,0.0,"Aurobindo Unit III, India",Yes,3424.441305712492,11103.234819296547,0.0
11076,111-MZ-T01,Pre-PQ Process,SO-32571,DN-1532,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,11-Dec-09,11-Dec-09,11-Dec-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,2510,9789.0,3.9,0.06,"Cipla, Goa, India",Yes,190.0,1317.4,21.11
11077,151-NG-T30,Pre-PQ Process,SO-35150,DN-1594,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,Date Not Captured,N/A - From RDC,18-Dec-09,18-Dec-09,18-Dec-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3,34.2,11.4,0.19,"Aurobindo Unit III, India",Yes,1.0,11103.234819296547,0.07
11078,111-MZ-T01,Pre-PQ Process,SO-33430,DN-1529,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,23-Feb-10,23-Feb-10,23-Feb-10,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1788,5721.6,3.2,0.05,"Cipla, Goa, India",Yes,205.0,1380.45,12.34
11079,151-NG-T30,Pre-PQ Process,SO-35330,DN-1615,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,19-Feb-10,22-Jan-10,22-Jan-10,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,5,58.75,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,1.0,19480.97,0.13
11118,104-CI-T01,Pre-PQ Process,SO-586,DN-194,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,28-Jun-07,28-Jun-07,28-Jun-07,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,2000,71600.0,35.8,0.6,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,114.56
11122,104-CI-T01,Pre-PQ Process,SO-687,DN-206,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,10-Jul-07,10-Jul-07,10-Jul-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,4515,10113.6,2.24,0.07,"Aurobindo Unit III, India",Yes,259.0,1574.0,16.18
11133,112-NG-T01,Pre-PQ Process,SO-663,DN-190,Nigeria,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,26-Jun-07,26-Jun-07,26-Jun-07,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,700,1064.0,1.52,0.03,"Strides, Bangalore, India.",No,3424.441305712492,11103.234819296547,1.7
11136,112-NG-T01,Pre-PQ Process,SO-563,DN-209,Nigeria,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,3-Jul-07,3-Jul-07,3-Jul-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,1319,9892.5,7.5,0.12,"Cipla, Goa, India",Yes,1656.0,8331.36,15.83
11137,112-NG-T01,Pre-PQ Process,SO-563,DN-209,Nigeria,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,3-Jul-07,3-Jul-07,3-Jul-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/40mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/40mg,Tablet - FDC,60,1018,7838.6,7.7,0.13,"Cipla, Goa, India",No,3424.441305712492,11103.234819296547,12.54
11138,109-TZ-T01,Pre-PQ Process,SO-441,DN-246,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,13-Aug-07,13-Aug-07,13-Aug-07,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,3000,123300.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,1422.0,4198.0,197.28
11144,111-MZ-T01,Pre-PQ Process,SO-502,DN-282,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,10-Oct-07,10-Oct-07,10-Oct-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,400,6780.0,16.95,0.19,"Aurobindo Unit III, India",Yes,3340.0,3438.84,10.85
11154,111-MZ-T01,Pre-PQ Process,SO-298,DN-304,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,21-Sep-07,21-Sep-07,21-Sep-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,271,4593.45,16.95,0.19,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,7.35
11156,114-UG-T01,Pre-PQ Process,SO-896,DN-297,Uganda,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,17-Oct-07,17-Oct-07,17-Oct-07,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,294,446.88,1.52,0.03,"Strides, Bangalore, India.",Yes,14.0,632.6,0.72
11160,114-UG-T01,Pre-PQ Process,SO-1080,DN-362,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,5-Nov-07,5-Nov-07,5-Nov-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,1717,21325.14,12.42,0.41,"Strides, Bangalore, India.",No,3424.441305712492,11103.234819296547,34.12
11177,110-ZM-T01,Pre-PQ Process,SO-753,DN-395,Zambia,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,2-Nov-07,2-Nov-07,2-Nov-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,2324,37184.0,16.0,0.18,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,59.49
11189,113-ZW-T01,Pre-PQ Process,SO-281,DN-392,Zimbabwe,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,22-Oct-07,22-Oct-07,22-Oct-07,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,500,1835.0,3.67,0.06,"Aurobindo Unit III, India",Yes,47.0,707.4,2.94
11191,112-NG-T01,Pre-PQ Process,SO-1224,DN-410,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,4-Dec-07,4-Dec-07,4-Dec-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,400,6400.0,16.0,0.18,"Aurobindo Unit III, India",Yes,38.0,1161.13,10.24
11192,111-MZ-T01,Pre-PQ Process,SO-992,DN-427,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,22-Nov-07,22-Nov-07,22-Nov-07,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,24140,48280.0,2.0,0.07,"Cipla, Goa, India",Yes,1434.0,3682.34,77.25
11194,104-CI-T01,Pre-PQ Process,SO-1245,DN-423,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,13-Nov-07,13-Nov-07,13-Nov-07,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,Tablet - FDC,60,3300,146850.0,44.5,0.74,GSK Ware (UK),Yes,2143.0,10137.04,234.96
11195,110-ZM-T01,Pre-PQ Process,SO-1317,DN-605,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,21-Feb-08,21-Feb-08,21-Feb-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,9943,33806.2,3.4,0.06,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,54.09
11196,110-ZM-T01,Pre-PQ Process,SO-1419,DN-606,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-Feb-08,20-Feb-08,20-Feb-08,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,900,14400.0,16.0,0.18,"Aurobindo Unit III, India",Yes,109.0,919.66,23.04
11198,114-UG-T01,Pre-PQ Process,SO-1300,DN-435,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,10-Dec-07,10-Dec-07,10-Dec-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3930,80565.0,20.5,0.34,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,128.9
11200,104-CI-T01,Pre-PQ Process,SO-1145,DN-440,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,29-Nov-07,29-Nov-07,29-Nov-07,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,14000,24500.0,1.75,0.03,"Strides, Bangalore, India.",Yes,989.0,3452.0,39.2
11201,104-CI-T01,Pre-PQ Process,SO-1145,DN-440,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,29-Nov-07,29-Nov-07,29-Nov-07,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,3996,6993.0,1.75,0.03,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,11.19
11202,104-CI-T01,Pre-PQ Process,SO-1103,DN-442,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,22-Nov-07,22-Nov-07,22-Nov-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180,4077,69186.69,16.97,0.09,"MSD, Haarlem, NL",Yes,1554.0,4963.0,110.7
11203,106-HT-T01,Pre-PQ Process,SO-1288,DN-445,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,22-Jan-08,22-Jan-08,22-Jan-08,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,100,224.0,2.24,0.07,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,0.36
11205,104-CI-T01,Pre-PQ Process,SO-1298,DN-451,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,17-Jan-08,17-Jan-08,17-Jan-08,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,993,40812.3,41.1,0.34,ABBVIE (Abbott) Logis. UK,Yes,217.0,3499.1,65.3
11206,110-ZM-T01,Pre-PQ Process,SO-1084,DN-453,Zambia,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,6-Dec-07,6-Dec-07,6-Dec-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,96,1872.0,19.5,0.65,"Cipla, Goa, India",Yes,5.0,636.52,3.0
11207,110-ZM-T01,Pre-PQ Process,SO-1429,DN-470,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,26-Nov-07,26-Nov-07,26-Nov-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,84,1043.28,12.42,0.41,"Aurobindo Unit III, India",Yes,3424.441305712492,11103.234819296547,1.67
11208,112-NG-T01,Pre-PQ Process,SO-567,DN-475,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,3-Dec-07,3-Dec-07,3-Dec-07,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,215,2296.2,10.68,0.18,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,3.67
11217,117-ET-T01,Pre-PQ Process,SO-1542,DN-529,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-Dec-07,20-Dec-07,20-Dec-07,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,9692,92074.0,9.5,0.16,"Aurobindo Unit III, India",Yes,1215.0,6346.22,147.32
11222,112-NG-T01,Pre-PQ Process,SO-1570,DN-535,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,9-Jan-08,9-Jan-08,9-Jan-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,2925,21645.0,7.4,0.12,"Cipla, Goa, India",No,3424.441305712492,11103.234819296547,34.63
11223,106-HT-T01,Pre-PQ Process,SO-1287,DN-614,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,4-Mar-08,21-Feb-08,21-Feb-08,ARV,Adult,SCMS from RDC,"Stavudine 15mg, capsules, 60 Caps",Stavudine,Generic,15mg,Capsule,60,120,180.0,1.5,0.02,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,0.29
11225,107-RW-T01,Pre-PQ Process,SO-1682,DN-580,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,28-Jan-08,28-Jan-08,28-Jan-08,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,392,842.8,2.15,0.04,"Aurobindo Unit III, India",Yes,29.0,1372.38,1.35
11226,109-TZ-T01,Pre-PQ Process,SO-1647,DN-556,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,6-Feb-08,6-Feb-08,6-Feb-08,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,1128,31053.84,27.53,0.46,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,49.69
11231,114-UG-T01,Pre-PQ Process,SO-1082,DN-589,Uganda,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,28-Feb-08,28-Feb-08,28-Feb-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,2883,27388.5,9.5,0.16,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,43.82
11232,113-ZW-T01,Pre-PQ Process,SO-1051,DN-708,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,21-Apr-08,21-Apr-08,21-Apr-08,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,5693,113860.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,1740.0,8008.65,182.18
11233,106-HT-T01,Pre-PQ Process,SO-2058,DN-692,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,3-Apr-08,3-Apr-08,3-Apr-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,7558,71423.1,9.45,0.16,"Aurobindo Unit III, India",Yes,2166.0,20578.2,114.28
11235,109-TZ-T01,Pre-PQ Process,SO-2560,DN-826,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,29-Jul-08,29-Jul-08,29-Jul-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,5809,54895.05,9.45,0.16,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,87.83
11236,102-GY-T01,Pre-PQ Process,SO-1004,DN-617,Guyana,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,21-Feb-08,21-Feb-08,21-Feb-08,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,152,1.52,0.01,0.0,Inverness Japan,Yes,45.0,798.59,0.0
11239,112-NG-T01,Pre-PQ Process,SO-2726,DN-800,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,19-Jun-08,19-Jun-08,19-Jun-08,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,84,3452.4,41.1,0.34,ABBVIE Ludwigshafen Germany,No,3424.441305712492,11103.234819296547,5.52
11240,112-NG-T01,Pre-PQ Process,SO-2726,DN-800,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,19-Jun-08,19-Jun-08,19-Jun-08,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,4,105.2,26.3,0.44,Mylan (formerly Matrix) Nashik,No,3424.441305712492,11103.234819296547,0.17
11242,110-ZM-T01,Pre-PQ Process,SO-1891,DN-676,Zambia,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,1-Apr-08,1-Apr-08,1-Apr-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,32358,110017.2,3.4,0.06,"Ranbaxy, Paonta Shahib, India",Yes,3146.0,13332.0,176.03
11243,112-NG-T01,Pre-PQ Process,SO-11220,DN-833,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,16-Jul-08,16-Jul-08,16-Jul-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,2100,6090.0,2.9,0.05,"Aurobindo Unit III, India",Yes,153.0,1280.91,9.74
11244,123-NG-T01,Pre-PQ Process,SO-2553,DN-836,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,31-Jul-08,31-Jul-08,31-Jul-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,14277,134917.65,9.45,0.16,"Aurobindo Unit III, India",Yes,2033.0,15307.62,215.87
11245,110-ZM-T01,Pre-PQ Process,SO-1880,DN-639,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,14-Mar-08,14-Mar-08,14-Mar-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,27662,94050.8,3.4,0.06,Hetero Unit III Hyderabad IN,Yes,4128.0,6539.8,150.48
11249,117-ET-T01,Pre-PQ Process,SO-1964,DN-659,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,12-Mar-08,12-Mar-08,12-Mar-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,14044,42693.76,3.04,0.05,"Ranbaxy, Paonta Shahib, India",Yes,732.0,2963.8,68.31
11250,104-CI-T01,Pre-PQ Process,SO-2705,DN-786,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,27-Jun-08,27-Jun-08,27-Jun-08,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,3885,62160.0,16.0,0.18,"Aurobindo Unit III, India",Yes,467.0,6299.56,99.46
11258,111-MZ-T01,Pre-PQ Process,SO-1615,DN-698,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,23-Jun-08,23-Jun-08,23-Jun-08,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,3060,24939.0,8.15,0.14,"Aurobindo Unit III, India",No,3424.441305712492,11103.234819296547,39.9
